,Year,Defender,Opponent,Points_Against,Opponent_FG%
255,2013-14,Jeff Adrien,Giannis Antetokounmpo,10.0,0.667
256,2013-14,Zaza Pachulia,Giannis Antetokounmpo,10.0,0.667
257,2013-14,Ramon Sessions,Giannis Antetokounmpo,10.0,0.667
258,2013-14,Brandon Knight,Giannis Antetokounmpo,10.0,0.667
259,2013-14,John Henson,Giannis Antetokounmpo,10.0,0.667
260,2013-14,Ekpe Udoh,Giannis Antetokounmpo,10.0,0.667
261,2013-14,Ersan Ilyasova,Giannis Antetokounmpo,10.0,0.667
262,2013-14,O.J. Mayo,Giannis Antetokounmpo,10.0,0.667
263,2013-14,Miroslav Raduljica,Giannis Antetokounmpo,10.0,0.667
264,2013-14,DJ Stephens,Giannis Antetokounmpo,10.0,0.667
265,2013-14,Nate Wolters,Giannis Antetokounmpo,10.0,0.667
266,2013-14,Khris Middleton,Giannis Antetokounmpo,9.0,1.0
267,2013-14,Jeff Adrien,Giannis Antetokounmpo,9.0,1.0
268,2013-14,Zaza Pachulia,Giannis Antetokounmpo,9.0,1.0
269,2013-14,Ramon Sessions,Giannis Antetokounmpo,9.0,1.0
270,2013-14,Brandon Knight,Giannis Antetokounmpo,9.0,1.0
271,2013-14,John Henson,Giannis Antetokounmpo,9.0,1.0
272,2013-14,O.J. Mayo,Giannis Antetokounmpo,9.0,1.0
273,2013-14,Ekpe Udoh,Giannis Antetokounmpo,9.0,1.0
274,2013-14,Ersan Ilyasova,Giannis Antetokounmpo,9.0,1.0
275,2013-14,Miroslav Raduljica,Giannis Antetokounmpo,9.0,1.0
276,2013-14,Nate Wolters,Giannis Antetokounmpo,9.0,1.0
277,2013-14,Matt Barnes,Giannis Antetokounmpo,9.0,1.0
278,2013-14,Blake Griffin,Giannis Antetokounmpo,9.0,1.0
279,2013-14,DeAndre Jordan,Giannis Antetokounmpo,9.0,1.0
280,2013-14,Darren Collison,Giannis Antetokounmpo,9.0,1.0
281,2013-14,Chris Paul,Giannis Antetokounmpo,9.0,1.0
282,2013-14,Glen Davis,Giannis Antetokounmpo,9.0,1.0
283,2013-14,Jamal Crawford,Giannis Antetokounmpo,9.0,1.0
284,2013-14,Danny Granger,Giannis Antetokounmpo,9.0,1.0
285,2013-14,Hedo Turkoglu,Giannis Antetokounmpo,9.0,1.0
286,2013-14,Jared Dudley,Giannis Antetokounmpo,9.0,1.0
287,2013-14,Reggie Bullock Jr.,Giannis Antetokounmpo,9.0,1.0
288,2013-14,Willie Green,Giannis Antetokounmpo,9.0,1.0
289,2013-14,Ryan Hollins,Giannis Antetokounmpo,9.0,1.0
290,2013-14,Khris Middleton,Giannis Antetokounmpo,9.0,0.429
291,2013-14,Ersan Ilyasova,Giannis Antetokounmpo,9.0,0.429
292,2013-14,Zaza Pachulia,Giannis Antetokounmpo,9.0,0.429
293,2013-14,Brandon Knight,Giannis Antetokounmpo,9.0,0.429
294,2013-14,O.J. Mayo,Giannis Antetokounmpo,9.0,0.429
295,2013-14,Jeff Adrien,Giannis Antetokounmpo,9.0,0.429
296,2013-14,John Henson,Giannis Antetokounmpo,9.0,0.429
297,2013-14,Ramon Sessions,Giannis Antetokounmpo,9.0,0.429
298,2013-14,Chris Wright,Giannis Antetokounmpo,9.0,0.429
299,2013-14,Miroslav Raduljica,Giannis Antetokounmpo,9.0,0.429
300,2013-14,Ekpe Udoh,Giannis Antetokounmpo,9.0,0.429
301,2013-14,Nate Wolters,Giannis Antetokounmpo,9.0,0.429
302,2013-14,Rudy Gay,Giannis Antetokounmpo,9.0,0.429
303,2013-14,Reggie Evans,Giannis Antetokounmpo,9.0,0.429
304,2013-14,DeMarcus Cousins,Giannis Antetokounmpo,9.0,0.429
305,2013-14,Ben McLemore,Giannis Antetokounmpo,9.0,0.429
306,2013-14,Isaiah Thomas,Giannis Antetokounmpo,9.0,0.429
307,2013-14,Derrick Williams,Giannis Antetokounmpo,9.0,0.429
308,2013-14,Jason Thompson,Giannis Antetokounmpo,9.0,0.429
309,2013-14,Ray McCallum,Giannis Antetokounmpo,9.0,0.429
310,2013-14,Travis Outlaw,Giannis Antetokounmpo,9.0,0.429
311,2013-14,Aaron Gray,Giannis Antetokounmpo,9.0,0.429
312,2013-14,Royce White,Giannis Antetokounmpo,9.0,0.429
313,2013-14,Khris Middleton,Giannis Antetokounmpo,11.0,0.5
314,2013-14,Ersan Ilyasova,Giannis Antetokounmpo,11.0,0.5
315,2013-14,Zaza Pachulia,Giannis Antetokounmpo,11.0,0.5
316,2013-14,Nate Wolters,Giannis Antetokounmpo,11.0,0.5
317,2013-14,Brandon Knight,Giannis Antetokounmpo,11.0,0.5
318,2013-14,Jeff Adrien,Giannis Antetokounmpo,11.0,0.5
319,2013-14,John Henson,Giannis Antetokounmpo,11.0,0.5
